type,filename,ela_std,ela_mean,log_hf_ratio,tail_70,tail_80,tail_90,spectral_slope,wavelet_cH_std,wavelet_cV_std,wavelet_cD_std,wavelet_cH_energy,wavelet_detail_ratio,lbp_entropy,lbp_uniformity,lbp_mean,lbp_std,gradient_mean,gradient_std,gradient_max,gradient_skew,gradient_kurtosis
FAKE,hard_173_1110.jpg,0.8946854754217011,0.6702583333333333,-3.784234530896034,-5.602083481345872,-5.2314655017274445,-2.583382741963249,-4.1892877562379045,2.4889896255596704,3.6747627137859724,1.593321113224967,568818.2903858968,4.105459655725189e-05,2.7575277693754856,0.09541479544753086,16.92414722222222,7.080034464801006,2.990983457593766,4.9385952271381335,70.9964787859229,3.497425202093201,16.739655769451833
FAKE,hard_195_1000.jpg,1.5528790648031732,1.231948148148148,-3.1985079945770156,-4.645072679797,-4.3594117505756005,-2.8841540327179187,-2.944300289014618,7.896019252117189,6.7188402082008185,4.473184066179197,5724027.91689334,0.0005918392877448936,2.1796676342701296,0.26556023890432096,18.797555555555554,8.735853937921087,5.647629331630389,9.457027568560223,153.79613129074477,4.678938843884996,34.363776666089755
FAKE,easy_121_0011.jpg,1.990851928745922,2.064372222222222,-2.65851679097394,-6.203712531298179,-5.497355674958775,-1.8235363788787184,-2.7222060187982673,7.882032056213051,10.314545697477849,6.4112161166314605,5703792.211248859,0.0007649118799290902,1.7569524289337588,0.37680070237654323,20.074838888888888,8.6483771262872,6.66216587820793,8.988837096033041,148.8220413782851,3.3186656210614562,16.142034994143966
FAKE,mid_464_1111.jpg,0.7917231137115746,0.8693435185185184,-4.132046479220112,-3.8502783010678696,-2.0864267781910795,-1.2735469746959565,-4.817733179021349,1.3718131272357355,1.4198134071207724,0.5146915502396074,172773.05931651717,5.6407652954539013e-05,2.6262626217139937,0.1262436822993827,17.756075,7.739090747263209,2.3167532938975195,2.9191873646032795,53.48130514488217,3.825417840950403,29.265376533954615
FAKE,mid_347_0011.jpg,1.076621073707137,0.8002972222222224,-3.7402686404162946,-6.528717921813488,-4.538392669362968,-5.760886208933013,-5.0683214303413235,5.078767643626462,3.630839624951483,1.441848948697375,2368154.313553634,0.0003823465794995558,2.6293417529007277,0.148055155154321,17.07456388888889,8.139838498522517,3.6522799383985682,7.589663969388765,162.92943257741985,6.691710133952214,59.392223376645454
FAKE,easy_103_1111.jpg,1.0887870386004708,1.5655805555555555,-4.117478806800575,-5.134886684230916,-3.404168669969141,-1.214754374708251,-4.8613144760568,3.128710986372488,3.4965313318757767,1.3134369806951594,898707.0431090355,0.00012725645783424677,2.7117986237954654,0.1209506137191358,16.04393333333333,7.735980716108334,4.6871261464783265,5.833608435255842,111.24072995085928,4.6878631830183854,39.1615365505434
FAKE,hard_223_1111.jpg,0.9307500300029435,1.229412962962963,-4.264299492098633,-5.253586116704087,-4.101084074405375,-4.3590139528396055,-4.653760129032471,2.5379743261206067,2.2115707305128147,1.0362745375471676,591376.6861259313,7.335016586530899e-05,2.727829376594576,0.10253687186728394,15.186780555555556,7.149149850130568,4.728308993493269,6.019448655616743,78.77340921910134,3.6733449028264125,19.881772991969616
FAKE,mid_73_1110.jpg,1.5981137486617443,2.1165768518518515,-3.358992616622704,-5.982459940965669,-5.827934306480286,-3.4721529569812666,-3.7913992859759533,6.238707910170604,7.591079048570328,4.067123559157423,3573345.370156019,0.000991900718336165,2.4327684393233957,0.19648904950617285,17.70584722222222,8.351719665167638,7.787096264453411,8.36257908724085,115.89758409906567,2.359281931072664,8.18676844440884
FAKE,mid_11_1100.jpg,2.6870218262012995,2.733375925925926,-2.9672069778999974,-8.116251815670484,-8.495031355783523,-6.536917071002874,-3.552002809274615,12.566096090168681,14.941307045317314,8.75213138881932,14497263.529014707,0.0014678367458876294,2.317090050706271,0.2283263540432099,18.22864722222222,8.382704807650958,9.127161868083371,15.6435986947599,173.62387508634865,3.7547259402944233,17.787938059767875
FAKE,mid_114_1110.jpg,1.7677058659141647,2.5495527777777767,-3.1692896474156322,-5.5569798479479084,-5.206065467362606,-4.429137247518212,-3.127212442971138,6.7684835182590275,7.880064249086565,4.400441173714102,4205989.31180533,0.0003593015409243308,1.7220872985631723,0.38441019513888885,19.969916666666666,8.771776425543587,7.357121523735895,7.507075854484358,135.07405376311175,3.9643089008718464,23.41881107861004
FAKE,easy_107_1011.jpg,1.2714130850266254,1.5289657407407402,-3.5466937215399494,-6.557981500036649,-5.567912741045035,-5.267464763501592,-4.125296220122269,5.680749134853123,4.628640195364576,2.4935255252499036,2962767.2405860303,0.00039681916626430275,2.597392886375651,0.1437754373611111,16.745786111111112,7.853977072429709,5.047452202298603,6.678917484556235,141.90225509131275,3.4061123719146797,17.914276558018827
FAKE,easy_217_1111.jpg,1.7353874790929527,1.7538555555555555,-3.257453788026991,-6.734546514761305,-6.014678621919232,-5.199481839078778,-3.86589311524814,9.265079078952377,8.303489950121143,4.533890135367748,7881193.067795015,0.000820260051284531,2.2056871427930704,0.25923574064814814,19.032183333333332,8.379934222080081,6.551031235273498,10.880236295127249,156.46405337968207,3.420878070216882,16.14486576925758
FAKE,mid_133_1001.jpg,1.615607229410113,1.950505555555556,-3.6812045842326953,-6.346348457933513,-5.666741811368274,-4.181784826046912,-4.859992722240894,6.7417185750676465,5.054434408498958,2.3863003410212578,4172799.154932973,0.0009054335518108217,2.7240914419244673,0.1283237503549383,16.422369444444445,8.174814041184987,7.062032163132162,10.742483692961958,135.36986370680884,3.327557544857675,14.136126999642574
FAKE,hard_208_0001.jpg,1.2042955489431943,1.696759259259259,-3.9101104152380146,-5.729264725151822,-4.162397574800075,-1.0193197127770568,-5.603999745999151,6.749837183342489,5.681874699482156,1.866277272210195,4182846.018614386,0.0006581413492637197,2.643351816539882,0.14755530492283953,16.65685277777778,8.34113185002112,6.848885379428917,8.87517548518215,149.30673126152084,3.309501501908071,15.764541641099242
FAKE,mid_228_1111.jpg,1.5246863500691235,1.4676240740740742,-3.5860664672056317,-6.37309606041225,-5.387010014326534,-2.929654459410551,-4.457922061190118,7.614318870238649,7.621054699374092,3.6212848571939023,5322902.671641615,0.0006087935589599042,2.629180454300526,0.14823042867283953,17.45238611111111,8.05677007421063,6.673938407051905,11.537086469054179,123.92941539440909,3.3280038048542884,12.730433993517694
