type,filename,ela_std,ela_mean,ela_max,log_hf_ratio,tail_60,tail_70,tail_80,tail_85,tail_90,spectral_slope,red_mean,red_std,red_skew,red_kurtosis,green_mean,green_std,green_skew,green_kurtosis,blue_mean,blue_std,blue_skew,blue_kurtosis,rg_corr,rb_corr,gb_corr,noise_std,noise_mean,noise_max,wavelet_cH_std,wavelet_cV_std,wavelet_cD_std,wavelet_cH_energy,wavelet_detail_ratio,wavelet_cH_mean,wavelet_cV_mean,lbp_entropy,lbp_uniformity,lbp_mean,lbp_std,gradient_mean,gradient_std,gradient_max,gradient_skew,gradient_kurtosis,edge_density
REAL,real_00437.jpg,0.7954772416445686,0.9349342592592593,8.666666666666666,-4.118865434616329,-11.401332965525004,-4.562631345133333,-1.9950433449620868,-1.1347421874669994,-0.10060952391337649,-5.7439307622090165,134.64645833333333,90.33109296090772,-0.19683618450435822,-1.6879601881881967,114.71535833333333,84.24622506352988,0.1731967739137287,-1.4173883573556416,99.38504444444445,82.5459596675844,0.536621493270792,-1.0640879139592172,0.9668461509739465,0.9100005767455969,0.9838491295081986,108.76614281867496,66.20876944444444,255.0,1.6811387141253231,2.2008248448136554,0.6341491472550557,259486.7325262683,3.231810501822207e-05,1.0362499151904596,1.2955452681720494,2.697145319845043,0.11740184064814815,16.96132777777778,7.984643178091969,3.924615799440453,5.4646821086870725,78.77182237323191,3.875449417987633,21.41124778609466,0.09945277777777778
REAL,real_00438.jpg,0.6078991726660652,0.712763888888889,7.333333333333333,-3.9776356280011966,-9.882480692577793,-1.8858229917467026,-0.4198170455292392,-0.5154807203076177,-0.35104499954540086,-5.072727755723027,119.18325833333333,49.9460435230408,-0.26772935393973984,-0.9778509099934238,110.57524166666667,50.69015502510695,-0.2971614605279787,-1.3121036669798436,126.24169444444445,55.29108784340055,-0.17606862742787655,-1.3341930915073579,0.8924609403916856,0.8015943839837945,0.9803319982025532,80.82142395432317,30.562866666666668,255.0,0.5953265374182005,0.6016249798442945,0.3202041849708934,32541.82280779701,5.655759390662081e-06,0.4261017286714117,0.4391951621577267,2.882934248351873,0.07599132608024692,14.981105555555555,6.731632103564996,1.8705364559182907,1.9170511296643364,22.677080940897135,2.6289474425169113,10.229951519304048,0.09658611111111111
REAL,real_00439.jpg,0.9694752371900436,1.0439611111111113,12.0,-3.740701637723735,-6.097654170086561,-5.20491737106223,-4.504866829249364,-4.501408636431077,-4.379525567960629,-4.0544463004214455,85.22555833333334,38.08256532550817,0.178227537844381,-0.5864641005733033,66.88911666666667,35.25549964028858,0.3706379654714572,-0.6278702152682758,54.12382222222222,32.06891738898786,0.5777481604708704,-0.504630248309061,0.9915396904465139,0.9668391840700773,0.9896616594930425,102.9163446013449,56.334697222222225,255.0,2.0129311268341645,3.0635082929352313,1.2815341878197601,372000.39489617985,0.00016160587374226752,1.1363484262262777,1.7214571658644386,2.4931204532406808,0.17636725709876544,17.52517222222222,8.017648569340679,3.1392561230404152,3.761349236282984,60.03332407921454,2.779241756794347,10.71434763531309,0.09915277777777778
REAL,real_00440.jpg,1.4765238792264503,1.9090444444444445,18.666666666666668,-3.41973627845833,-6.0958273106847205,-5.593743351069461,-4.420302194334328,-3.413826950731303,-1.7316797026278374,-4.308705409530511,117.24499722222222,59.09214138600264,0.09759277889063275,-0.9800007220747964,108.93665555555556,42.89187955692548,0.11622511672528296,0.046879185958097924,110.51753055555555,44.67403904844338,0.15848365147051965,-0.4245474284317736,0.7966149544019924,0.4785741358785927,0.9055611556835551,114.98570940677074,87.04145277777778,255.0,7.968905879354571,6.033580340135154,3.127403319834648,5830220.098219451,0.0011096807870613523,4.500287887170872,3.751499421502129,2.4839102768077383,0.18055120680555556,17.248980555555555,8.380519429318058,7.619415725319033,8.114003959498728,143.38148416026388,2.813059613158514,13.848188714243367,0.09998611111111111
REAL,real_00441.jpg,1.707774229212429,2.437849074074075,16.0,-2.8434642239528474,-7.160153474122269,-6.960840957649802,-4.996496714691785,-4.334005027708741,-5.2669504220989465,-2.9574910563303956,125.58813611111111,56.98967610037733,0.9301825003013163,-0.5867082598776663,92.9558888888889,40.22430040533664,1.3148125974458973,0.8155140817254498,92.24020833333333,26.899474952763946,1.4589054741654084,1.9213175832477445,0.9618906270662624,0.9098209841269997,0.979652581309967,120.2320087344998,110.23497777777777,255.0,8.571057783685063,8.523980762669654,4.492603862885833,6744569.738072371,0.0014997456279163199,6.682943500406276,6.661864202806573,1.6124683460946494,0.4213709755555556,20.316769444444443,8.648835753836705,8.344706228174909,4.96658964357648,61.204574992397426,1.2951236494311085,3.5431415757067386,0.099625
REAL,real_00442.jpg,0.9055304165089697,1.0246425925925924,11.333333333333334,-3.956202441788216,-7.609242832760561,-5.1513231932010894,-3.8069752278068396,-2.806587883595393,-3.4036028626774097,-4.664471397089457,89.20354166666667,63.58943134769538,0.290949892372636,-1.294328879136354,77.04225,49.965355369092705,0.08437378089280498,-1.3155160000366852,73.51532777777778,46.47860981800966,0.32996604662260764,-1.0293835408834058,0.9676545224797392,0.9510612971737754,0.9878512036386364,91.93562865402528,42.18301666666667,255.0,1.7593009035099698,2.6004622251357774,0.9693805806968596,284161.7055111977,8.46734334823068e-05,0.894807109299088,1.119034204104909,2.6790857110898876,0.13199931787037036,16.897405555555554,7.935155739000424,2.672376729372915,4.100872600865375,88.01278316244749,5.221621121855019,46.10660605285387,0.09888333333333334
REAL,real_00443.jpg,1.5797386471192505,1.617136111111111,22.333333333333332,-3.7465920411843183,-8.07070570664575,-5.611920662147008,-4.035227814905849,-3.7759681319881944,-3.1368029826367776,-4.361359619840842,172.0929,64.54181988474173,-1.3198916024683107,0.24094042338300525,150.41043611111112,63.31678170103464,-0.7090149248357988,-0.8888839140077356,137.46150277777778,63.70248504805143,-0.38381223518346524,-1.1586359389634127,0.9405442026409413,0.8852377258662272,0.9875141070818337,103.48753475209158,57.92396388888889,255.0,3.38485502526582,3.222599376220733,1.6864843562101939,1051878.4536415047,0.00010160984843482727,1.8484424337628553,1.7287803969338997,2.444232444337384,0.17643624983024692,18.646594444444446,8.04741083703132,3.718995585462041,5.238697784201979,91.01785539112642,3.2483643528199537,15.88049920321448,0.09957777777777778
REAL,real_00444.jpg,1.793081952285592,2.5390435185185187,25.0,-2.886938973996553,-5.387944245559303,-5.59015228205419,-5.163740281884957,-4.301860979788965,-2.861110514345533,-3.4225678213025694,145.14308055555554,90.86108574606963,-0.26784605488707086,-1.648085036949398,109.44341944444444,62.444653972552715,-0.09707389240506795,-1.5036002304278981,94.223975,46.34592286010637,0.023267368954196208,-1.2183159308734086,0.9560253227641515,0.8900681404584769,0.9675932762036304,115.49405307462774,95.21235833333333,255.0,12.348570497421324,11.232204352057558,6.4650966272405315,13999703.915762391,0.0020849293396852362,6.286403055204751,5.95217024491339,2.185223961057546,0.27045233260802476,18.633755555555556,8.847965774134014,9.915210377690922,12.984752237379434,153.10290656940515,3.0057032135067545,12.231248877799166,0.09994166666666666
REAL,real_00445.jpg,1.0153325165953415,1.0491018518518518,12.333333333333334,-4.017193940060381,-9.847611179660012,-5.074954753791551,-3.081632936156661,-1.9858883951009894,-0.687369456722311,-5.180188819793414,153.40405833333332,88.17350103112321,-0.33011643603383023,-1.6507400415619986,134.5150361111111,74.86923267733641,-0.07872670159305645,-1.499568518600664,129.483825,74.46911835364625,0.04976087566968754,-1.4600597294799618,0.9492541463128495,0.9289440057010067,0.9952353385117092,101.9235626863146,55.27359722222222,255.0,2.30049383672552,2.2546266923196683,0.8852574241392708,485878.7392490058,5.194068328504723e-05,1.2573977319958203,1.309178809504828,2.719845541078143,0.11876618015432097,17.126802777777776,7.783893373855261,3.5041209151351778,5.668255274960029,96.8310384122777,4.755017785884768,33.360935181661795,0.09911388888888889
REAL,real_00446.jpg,1.58370397999924,1.702216666666667,24.666666666666668,-3.7589001178935884,-6.116244622477577,-5.954026042904617,-5.225492363809751,-4.685576335033058,-3.761326897989616,-4.208947543450461,192.52457777777778,56.69003612569708,-0.9521246421823113,-0.3229454138456447,150.61506666666668,54.20153696771174,-0.29343102331001514,-1.0009815734515686,114.44707777777778,51.129966309337135,0.6471162096180549,-0.40835170681101474,0.9505881438557812,0.7976516149788103,0.9224504678587347,106.44408673633642,64.42610833333333,255.0,5.406408906770675,4.705901263839641,2.374929351334203,2683537.7541902447,0.000258681021682337,2.5781922300541043,2.2763951513014162,2.6580657158870844,0.13581377765432098,16.577377777777777,7.80528214391849,5.252308935376599,7.551384632975658,124.27892017554707,3.6229679332393157,19.23547940857896,0.09986944444444444
